ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,MntTotal,TotalPurchases,TotalCampaignsAccepted,Customer_Tenure_Days,Family_Size,Has_Children,RFM_Segment,KMeans_Cluster
8430,1957,Graduation,In_Couple,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,57,22,4,0,737,3,1,Lost,Budget Families
7281,1959,PhD,Single,55185.0,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,55,186,9,0,421,1,0,Lost,Budget Families
2139,1975,Master,In_Couple,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,39,31,8,0,455,3,1,Lost,Budget Families
1371,1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,38,984,16,0,186,1,0,Loyal,Affluent Regulars
9909,1996,2n Cycle,In_Couple,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,18,122,10,1,782,2,0,Lost,Budget Families
7286,1968,Graduation,In_Couple,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,46,55,5,0,586,3,1,Lost,Budget Families
7244,1951,Graduation,Single,51983.0,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,63,124,10,0,364,4,1,Lost,Budget Families
6566,1954,PhD,In_Couple,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,60,1319,28,0,783,4,1,Champions,Affluent Regulars
8614,1957,Graduation,Single,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,57,507,17,0,233,2,1,Champions,Affluent Regulars
4114,1964,Master,In_Couple,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,50,1693,29,0,872,2,0,Champions,Affluent Regulars
1331,1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,37,72,7,0,728,2,1,Lost,Budget Families
2225,1977,Graduation,Single,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,37,1617,21,3,207,1,0,Loyal,Campaign Enthusiasts
9381,1978,Graduation,In_Couple,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,36,606,23,0,567,4,1,Loyal,Affluent Regulars
6260,1955,Master,In_Couple,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,59,1957,27,2,772,2,0,Loyal,Campaign Enthusiasts
10383,1966,Graduation,Single,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,48,1093,21,1,638,1,0,Champions,Affluent Regulars
7437,1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,26,29,6,0,247,2,1,Lost,Budget Families
8557,1982,Graduation,Single,51983.0,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,32,46,7,0,562,2,1,Lost,Budget Families
8375,1968,PhD,In_Couple,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,46,518,19,0,303,3,1,Loyal,Budget Families
6853,1982,Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,32,1438,21,3,545,1,0,Champions,Campaign Enthusiasts
3076,1975,Graduation,In_Couple,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,39,612,22,0,845,4,1,Champions,Affluent Regulars
1012,1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,62,884,24,0,681,2,1,Champions,Affluent Regulars
6518,1951,PhD,Single,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,63,606,19,0,568,2,1,Champions,Affluent Regulars
4137,1948,Graduation,In_Couple,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,66,1076,16,0,390,2,0,Champions,Affluent Regulars
8082,1971,Graduation,In_Couple,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,43,34,5,1,589,3,1,Lost,Budget Families
1386,1967,Graduation,In_Couple,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,47,11,4,0,234,4,1,Lost,Budget Families
9369,1979,2n Cycle,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,35,1274,32,3,287,2,1,Champions,Campaign Enthusiasts
4477,1958,Graduation,In_Couple,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,56,653,18,0,460,3,1,Champions,Affluent Regulars
1357,1970,Graduation,In_Couple,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,44,1562,19,0,632,5,1,At Risk,Affluent Regulars
1402,1954,Master,In_Couple,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,60,1253,21,0,841,2,0,Champions,Affluent Regulars
10629,1973,2n Cycle,In_Couple,46805.0,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,41,109,9,0,838,3,1,Lost,Budget Families
6312,1959,Graduation,In_Couple,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,55,863,30,0,654,3,1,Champions,Affluent Regulars
8132,1975,PhD,In_Couple,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,39,661,24,1,635,4,1,At Risk,Affluent Regulars
1050,1952,Graduation,In_Couple,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,62,65,8,0,245,2,0,Lost,Budget Families
5846,1977,Graduation,Single,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,37,13,4,0,742,2,1,Lost,Budget Families
1859,1972,Master,In_Couple,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,42,1890,19,1,856,2,0,Champions,Affluent Regulars
7503,1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,38,2209,22,2,810,1,0,Champions,Campaign Enthusiasts
10401,1976,2n Cycle,In_Couple,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,38,18,4,0,483,2,0,Lost,Budget Families
1618,1965,Graduation,In_Couple,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,49,692,21,2,728,2,0,Champions,Campaign Enthusiasts
3332,1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,29,165,12,0,854,2,1,Lost,Budget Families
2261,1969,Graduation,In_Couple,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,45,16,4,0,556,3,1,Lost,Budget Families
5346,1973,2n Cycle,In_Couple,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,41,79,9,0,546,3,1,Lost,Budget Families
4119,1963,Master,In_Couple,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,51,318,11,0,599,2,0,Lost,Budget Families
535,1987,Graduation,Single,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,27,778,27,0,309,1,0,Champions,Affluent Regulars
5268,1960,Graduation,In_Couple,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,54,56,7,0,507,4,1,Lost,Budget Families
273,1970,Master,In_Couple,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,44,151,13,1,533,4,1,Lost,Budget Families
4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,57,372,17,3,217,2,1,Lost,Campaign Enthusiasts
8504,1973,Graduation,In_Couple,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,41,1366,19,1,233,2,0,Loyal,Affluent Regulars
771,1967,Graduation,In_Couple,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,47,194,10,0,344,3,1,Lost,Budget Families
8996,1957,PhD,In_Couple,55185.0,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,57,603,29,0,772,5,1,Champions,Budget Families
9235,1957,Graduation,Single,51983.0,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,57,18,4,0,218,3,1,Lost,Budget Families
5798,1973,Master,In_Couple,50943.0,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,41,985,15,0,403,2,0,Lost,Affluent Regulars
11178,1972,Master,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,42,32,5,0,283,2,1,Lost,Budget Families
2230,1970,PhD,In_Couple,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,44,43,10,0,221,3,1,Lost,Budget Families
7516,1983,Graduation,In_Couple,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,31,45,6,0,223,3,1,Lost,Budget Families
7247,1960,Graduation,Single,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,54,606,22,1,769,2,1,Loyal,Budget Families
11100,1972,Graduation,Single,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,42,63,7,0,629,3,1,Lost,Budget Families
4646,1951,2n Cycle,In_Couple,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,63,978,25,1,395,2,0,Champions,Affluent Regulars
3037,1983,PhD,In_Couple,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,31,410,16,0,559,2,0,Champions,Budget Families
1473,1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,54,72,7,0,526,2,1,Lost,Budget Families
1016,1959,PhD,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,55,55,7,0,276,2,1,Lost,Budget Families
4518,1979,Graduation,In_Couple,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,35,1169,27,0,620,3,1,Loyal,Affluent Regulars
9370,1945,PhD,In_Couple,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,69,1120,16,0,593,2,0,Loyal,Affluent Regulars
8908,1959,Graduation,In_Couple,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,55,1097,20,1,237,2,0,Champions,Affluent Regulars
8373,1979,Basic,In_Couple,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,35,29,5,0,386,3,1,Lost,Budget Families
7533,1964,Graduation,In_Couple,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,50,187,13,0,463,4,1,Lost,Budget Families
2683,1969,Graduation,In_Couple,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,45,910,26,0,697,4,1,Loyal,Affluent Regulars
3629,1978,Graduation,Single,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,36,145,9,0,742,2,1,Lost,Budget Families
10991,1960,Master,In_Couple,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,54,850,14,0,754,2,0,Lost,Affluent Regulars
5077,1979,Graduation,In_Couple,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,35,969,24,0,424,3,1,Champions,Affluent Regulars
7431,1991,PhD,Single,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,23,1820,17,2,781,1,0,Champions,Campaign Enthusiasts
3267,1963,Master,In_Couple,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,51,608,20,1,189,3,1,Champions,Affluent Regulars
999,1991,Graduation,Single,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,23,730,25,3,728,1,0,At Risk,Campaign Enthusiasts
9215,1980,PhD,In_Couple,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,34,551,21,0,749,3,1,Champions,Budget Families
2286,1962,Graduation,Single,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,52,114,8,0,477,3,1,Lost,Budget Families
1592,1970,Graduation,In_Couple,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,44,1724,15,2,341,2,0,Champions,Campaign Enthusiasts
367,1978,2n Cycle,In_Couple,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,36,577,20,0,680,3,1,Loyal,Budget Families
5234,1967,2n Cycle,In_Couple,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,47,81,7,0,538,4,1,Lost,Budget Families
9862,1969,Graduation,In_Couple,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,45,33,7,0,412,3,1,Lost,Budget Families
9805,1953,Master,In_Couple,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,61,660,22,0,559,3,1,Loyal,Budget Families
6205,1967,Master,Single,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,47,80,9,1,310,2,1,Lost,Budget Families
8442,1985,Master,In_Couple,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,29,30,6,0,483,4,1,Lost,Budget Families
7386,1976,Graduation,Single,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,38,43,5,0,618,2,1,Lost,Budget Families
7215,1983,Graduation,Single,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,31,1135,27,4,659,1,0,Loyal,Campaign Enthusiasts
1491,1965,2n Cycle,In_Couple,71488.0,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,49,559,16,0,681,2,0,At Risk,Affluent Regulars
11071,1984,Graduation,Single,79607.0,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,30,1923,16,1,619,1,0,Champions,Affluent Regulars
3381,1953,Master,In_Couple,54348.0,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,61,90,8,0,206,4,1,Lost,Budget Families
8268,1961,PhD,In_Couple,55185.0,0,1,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,53,404,17,0,538,3,1,Champions,Budget Families
11051,1956,PhD,In_Couple,77376.0,1,1,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,58,661,23,0,235,4,1,Loyal,Affluent Regulars
8026,1952,Graduation,In_Couple,62998.0,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,62,463,19,0,457,3,1,Champions,Budget Families
433,1958,Master,Single,61331.0,1,1,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,56,632,23,0,661,3,1,Champions,Affluent Regulars
9597,1969,Graduation,In_Couple,73448.0,0,0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,45,725,19,0,324,2,0,Champions,Affluent Regulars
1295,1963,Graduation,In_Couple,51983.0,0,1,2013-08-11,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,51,725,19,0,507,3,1,At Risk,Budget Families
5290,1964,PhD,In_Couple,41551.0,1,1,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,50,279,16,0,504,4,1,Lost,Budget Families
1685,1967,PhD,In_Couple,62981.0,0,0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,47,1482,23,1,654,2,0,Champions,Affluent Regulars
5342,1976,Basic,Single,9548.0,1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,38,29,6,0,875,2,1,Lost,Budget Families
9579,1959,PhD,In_Couple,33762.0,2,1,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,55,106,9,0,542,5,1,Lost,Budget Families
7660,1973,PhD,Single,35860.0,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,41,49,6,2,226,3,1,Lost,Budget Families
1461,1965,PhD,Single,36921.0,1,1,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,49,38,7,0,521,3,1,Lost,Budget Families
821,1992,Master,Single,92859.0,0,0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,22,2077,22,0,803,1,0,Champions,Affluent Regulars
